Naslov,Cijena,URL_Proizvoda,URL_Slike,Stanje_Medija,Stanje_Omota,Tip_Artikla
NOVEMBER - EN NY TID AR HAR,30.00,https://www.karmavinil.com/november-en-ny-tid-ar-har,https://www.karmavinil.com/image_style/product_list_item/Documents/Products/33504/19435-vin.jpg.webp,LP,LP,Rabljeno
"PATTIERA, IVO - IVO PATTIERA - BORSALINO, BORSALINO",8.00,https://www.karmavinil.com/pattiera-ivo-ivo-pattiera-borsalino-borsalino,https://www.karmavinil.com/image_style/product_list_item/Documents/Products/23283/6712-vin.jpg.webp,LP,LP,Rabljeno
"KING, FREDDIE - MY FEELING FOR THE BLUES",27.00,https://www.karmavinil.com/king-freddie-my-feeling-for-the-blues,https://www.karmavinil.com/image_style/product_list_item/Documents/Products/63353/49156-vin.jpg.webp,LP,LP,Rabljeno
"KOTTKE, LEO - CHEWING PINE",20.00,https://www.karmavinil.com/kottke-leo-chewing-pine,https://www.karmavinil.com/image_style/product_list_item/Documents/Products/64303/49461-vin.jpg.webp,LP,LP,Rabljeno
LEB I SOL - PUTUJEMO,30.00,https://www.karmavinil.com/leb-i-sol-putujemo-1,https://www.karmavinil.com/image_style/product_list_item/Documents/Products/64365/49473-vin.jpg.webp,LP,LP,Rabljeno
LED ZEPPELIN - PRESENCE,30.00,https://www.karmavinil.com/led-zeppelin-presence,https://www.karmavinil.com/image_style/product_list_item/Documents/Products/14052/15147-vin.jpg.webp,LP,LP,Rabljeno
MAD RIVER - MAD RIVER,30.00,https://www.karmavinil.com/mad-river-mad-river,https://www.karmavinil.com/image_style/product_list_item/Documents/Products/22183/5379-vin.jpg.webp,LP,LP,Rabljeno
"HART, BETH & JOE BONAMASSA - DON'T EXPLAIN",35.00,https://www.karmavinil.com/hart-beth-joe-bonamassa-don-t-explain,https://www.karmavinil.com/image_style/product_list_item/Documents/Products/41180/28666-vin.jpg.webp,LP,LP,Rabljeno
"HOLIDAY, BILLIE - LAST RECORDING",23.00,https://www.karmavinil.com/holiday-billie-last-recording-2,https://www.karmavinil.com/image_style/product_list_item/Documents/Products/64279/49448-vin.jpg.webp,LP,LP,Rabljeno
"HOLIDAY, BILLIE - SONGS & CONVERSATION",18.00,https://www.karmavinil.com/holiday-billie-songs-conversation,https://www.karmavinil.com/image_style/product_list_item/Documents/Products/64270/49439-vin.jpg.webp,LP,LP,Rabljeno
JANE - BETWEEN HEAVEN AND HELL,25.00,https://www.karmavinil.com/jane-between-heaven-and-hell,https://www.karmavinil.com/image_style/product_list_item/Documents/Products/21283/4329-vin.jpg.webp,LP,LP,Rabljeno
JEFFERSON AIRPLANE - GREATEST HITS,20.00,https://www.karmavinil.com/jefferson-airplane-greatest-hits,https://www.karmavinil.com/image_style/product_list_item/Documents/Products/64284/49453-vin.jpg.webp,LP,LP,Rabljeno
"JONES, GRACE - ISLAND LIFE",20.00,https://www.karmavinil.com/jones-grace-island-life-1,https://www.karmavinil.com/image_style/product_list_item/Documents/Products/39143/26015-vin.jpg.webp,LP,LP,Rabljeno
"JONES, GRACE - LIVING MY LIFE",17.00,https://www.karmavinil.com/jones-grace-living-my-life-2,https://www.karmavinil.com/image_style/product_list_item/Documents/Products/64300/49458-vin.jpg.webp,LP,LP,Rabljeno
"JONES, GRACE - NIGHTCLUBBING",30.00,https://www.karmavinil.com/jones-grace-nightclubbing-1,https://www.karmavinil.com/image_style/product_list_item/Documents/Products/29789/14675-vin.jpg.webp,LP,LP,Rabljeno
"JONES, GRACE - NIGHTCLUBBING",18.00,https://www.karmavinil.com/jones-grace-nightclubbing-2,https://www.karmavinil.com/image_style/product_list_item/Documents/Products/41455/29055-vin.jpg.webp,LP,LP,Rabljeno
"JONES, GRACE - SLAVE TO THE RHYTHM",18.00,https://www.karmavinil.com/jones-grace-slave-to-the-rhythm,https://www.karmavinil.com/image_style/product_list_item/Documents/Products/29798/14689-vin.jpg.webp,LP,LP,Rabljeno
JUNIPHER GREENE - FRIENDSHIP,50.00,https://www.karmavinil.com/junipher-greene-friendship,https://www.karmavinil.com/image_style/product_list_item/Documents/Products/34421/20500-vin_1.jpg.webp,2LP,2LP,Rabljeno
ELEVENTH HOUSE featuring LARRY CORYELL - ASPECTS,22.00,https://www.karmavinil.com/eleventh-house-featuring-larry-coryell-aspects,https://www.karmavinil.com/image_style/product_list_item/Documents/Products/32335/17913-vin.jpg.webp,LP,LP,Rabljeno
ELEVENTH HOUSE featuring LARRY CORYELL - INTRODUCING THE LEEVENTH HOUSE with LARRY CORYELL,23.00,https://www.karmavinil.com/eleventh-house-featuring-larry-coryell-introducing-the-leeventh-house-with-larry-coryell,https://www.karmavinil.com/image_style/product_list_item/Documents/Products/34330/20395-vin.jpg.webp,LP,LP,Rabljeno
EURYTHMICS - 1984 - FOR THE LOVE OF BIG BROTHER,15.00,https://www.karmavinil.com/eurythmics-1984-for-the-love-of-big-brother-1,https://www.karmavinil.com/image_style/product_list_item/Documents/Products/40911/28292-vin.jpg.webp,LP,LP,Rabljeno
EURYTHMICS - REVENGE,15.00,https://www.karmavinil.com/eurythmics-revenge-1,https://www.karmavinil.com/image_style/product_list_item/Documents/Products/45595/35692-vin.jpg.webp,LP,LP,Rabljeno
EURYTHMICS - WE TOO ARE ONE,13.00,https://www.karmavinil.com/eurythmics-we-too-are-one-1,https://www.karmavinil.com/image_style/product_list_item/Documents/Products/44457/33551-vin.jpg.webp,LP,LP,Rabljeno
FAIRPORT CONVENTION - LIEGE & LIEF,75.00,https://www.karmavinil.com/fairport-convention-liege-lief,https://www.karmavinil.com/image_style/product_list_item/Documents/Products/38837/25636-vin.jpg.webp,LP,LP,Rabljeno
FAMILY - FEARLESS,40.00,https://www.karmavinil.com/family-fearless,https://www.karmavinil.com/image_style/product_list_item/Documents/Products/20209/3068-vin.jpg.webp,LP,LP,Rabljeno
FANTASY - PAINT A PICTURE,27.00,https://www.karmavinil.com/fantasy-paint-a-picture,https://www.karmavinil.com/image_style/product_list_item/Documents/Products/49977/43839-vin.jpg.webp,LP,LP,Rabljeno
